Item,Region,Price
Proton S,Genesis,16.823333333333333333333333333
Proton S,Catch,383.0
Proton S,Metropolis,33.81102910052910052910052910
Proton S,Molden Heath,8.925714285714285714285714286
Proton S,Domain,13.323328571428571428571428572
Proton S,Sinq Laison,10.147333333333333333333333333
Proton S,Lonetrek,34.754158333333333333333333333
Proton S,Derelik,15.9975
Proton S,Essence,18.409040918803418803418803419
Proton S,Branch,77.0
Proton S,Devoid,16.54
Proton S,The Forge,8.368264823717948717948717949
Proton S,Heimatar,12.548165277777777777777777778
Proton S,Placid,23.196
Proton S,Tash-Murkon,12.916923076923076923076923077
Proton S,Cobalt Edge,41.0
Depleted Uranium S,Derelik,19.1
Depleted Uranium S,Molden Heath,18.99198
Depleted Uranium S,Fountain,497.5
Depleted Uranium S,Deklein,50.0
Depleted Uranium S,Tash-Murkon,10.509
Depleted Uranium S,Everyshore,14.072307692307692307692307692
Depleted Uranium S,Sinq Laison,13.297341161616161616161616162
Depleted Uranium S,Etherium Reach,100.0
Depleted Uranium S,Syndicate,199.01
Depleted Uranium S,Lonetrek,42.51499375
Depleted Uranium S,Domain,29.343916666666666666666666668
Depleted Uranium S,Curse,32.996
Depleted Uranium S,Catch,5.0
Depleted Uranium S,The Forge,14.263730187053376560446733567
Depleted Uranium S,Genesis,21.211666666666666666666666667
Depleted Uranium S,Heimatar,48.697120501207729468599033816
Depleted Uranium S,Placid,23.19165
Depleted Uranium S,Metropolis,11.884072039072039072039072039
Depleted Uranium S,Essence,34.212992424242424242424242425
Titanium Sabot S,Branch,24.5
Titanium Sabot S,Placid,48.5849875
Titanium Sabot S,Catch,57.225
Titanium Sabot S,Devoid,32.099
Titanium Sabot S,Essence,27.189366339869281045751633987
Titanium Sabot S,Genesis,19.612727272727272727272727273
Titanium Sabot S,Metropolis,13.095947473516570396701759591
Titanium Sabot S,Deklein,110.0
Titanium Sabot S,Domain,15.343076923076923076923076923
Titanium Sabot S,Sinq Laison,15.0313
Titanium Sabot S,The Forge,15.877661728175543965017649227
Titanium Sabot S,Syndicate,6.0
Titanium Sabot S,Heimatar,17.368439422689897073198780979
Titanium Sabot S,Lonetrek,30.238564285714285714285714286
Titanium Sabot S,Derelik,23.831666666666666666666666667
Titanium Sabot S,Everyshore,16.368316666666666666666666667
Fusion S,Syndicate,187.0
Fusion S,Lonetrek,97.29503294117647058823529412
Fusion S,Domain,19.946988705738705738705738705
Fusion S,Tash-Murkon,31.275833333333333333333333333
Fusion S,Heimatar,31.316150216500915409090101139
Fusion S,Fountain,32.48125
Fusion S,Molden Heath,24.654285714285714285714285714
Fusion S,Genesis,22.182156111111111111111111111
Fusion S,Deklein,104.58
Fusion S,Derelik,26.20
Fusion S,The Forge,36.420725856532935754947140146
Fusion S,Metropolis,29.219395993931121039499529966
Fusion S,Essence,27.13911973063973063973063973
Fusion S,Verge Vendor,21.293795454545454545454545455
Fusion S,Everyshore,32.092113636363636363636363636
Fusion S,Catch,53.6
Fusion S,Placid,39.23998888888888888888888889
Fusion S,Sinq Laison,31.717847212900705282421401108
Fusion S,Devoid,30.316666666666666666666666666
Phased Plasma S,The Citadel,42.519333333333333333333333335
Phased Plasma S,Derelik,23.395333333333333333333333333
Phased Plasma S,Essence,32.130722222222222222222222223
Phased Plasma S,Etherium Reach,59.996666666666666666666666667
Phased Plasma S,Domain,23.00903051470588235294117647
Phased Plasma S,Syndicate,65.6125
Phased Plasma S,The Forge,33.801981403672435042781640985
Phased Plasma S,Heimatar,34.893952911556036556036556036
Phased Plasma S,Metropolis,29.911400638126817151966231563
Phased Plasma S,Everyshore,26.133316666666666666666666667
Phased Plasma S,Placid,31.409375927632801034335561188
Phased Plasma S,Sinq Laison,27.894926406926406926406926406
Phased Plasma S,Lonetrek,78.044137931034482758620689655
Phased Plasma S,Providence,33.925
Phased Plasma S,Genesis,31.203333333333333333333333333
EMP S,Verge Vendor,30.163795944444444444444444443
EMP S,Etherium Reach,40.663333333333333333333333333
EMP S,Tash-Murkon,34.948942105263157894736842105
EMP S,Stain,84.25125
EMP S,Derelik,32.983631818181818181818181818
EMP S,Deklein,50.0
EMP S,Placid,34.866948051948051948051948053
EMP S,The Citadel,35.9575
EMP S,Molden Heath,29.46124375
EMP S,Everyshore,26.914615384615384615384615385
EMP S,Metropolis,57.170141613902703070274907937
EMP S,Providence,36.807179487179487179487179488
EMP S,Tenerifis,44.36
EMP S,Catch,50.2375
EMP S,Syndicate,59.67
EMP S,The Forge,35.592385544664341280846239648
EMP S,Sinq Laison,26.472021602347909291739455383
EMP S,Branch,16.0
EMP S,Curse,91.42433862433862433862433862
EMP S,Essence,30.01376388888888888888888889
EMP S,Lonetrek,34.883717422161172161172161172
EMP S,Fountain,43.445
EMP S,Domain,30.972698412698412698412698413
EMP S,Genesis,37.620833333333333333333333333
EMP S,Heimatar,346.55436876619196478847631651
Carbonized Lead M,Tash-Murkon,18.007777777777777777777777778
Carbonized Lead M,Heimatar,15.242360971736596736596736597
Carbonized Lead M,Branch,83.0
Carbonized Lead M,Derelik,29.714285714285714285714285714
Carbonized Lead M,Essence,26.306875
Carbonized Lead M,Lonetrek,34.221875
Carbonized Lead M,Placid,48.799983333333333333333333333
Carbonized Lead M,Metropolis,24.959883817204301075268817204
Carbonized Lead M,Genesis,34.887944444444444444444444444
